Ensembl Transcript ID	Ensembl Gene ID	Associated Gene Name
ENST00000426304	ENSG00000187736	NHEJ1
ENST00000457600	ENSG00000187736	NHEJ1
ENST00000450447	ENSG00000187736	NHEJ1
ENST00000278060	ENSG00000148832	PAOX
ENST00000357296	ENSG00000148832	PAOX
ENST00000356306	ENSG00000148832	PAOX
ENST00000483211	ENSG00000148832	PAOX
ENST00000476834	ENSG00000148832	PAOX
ENST00000529585	ENSG00000148832	PAOX
ENST00000480071	ENSG00000148832	PAOX
ENST00000370377	ENSG00000102181	CD99L2
ENST00000355149	ENSG00000102181	CD99L2
ENST00000466436	ENSG00000102181	CD99L2
ENST00000613030	ENSG00000102181	CD99L2
ENST00000437787	ENSG00000102181	CD99L2
ENST00000255882	ENSG00000241973	PI4KA
ENST00000399213	ENSG00000241973	PI4KA
ENST00000278460	ENSG00000149179	C11orf49
ENST00000378618	ENSG00000149179	C11orf49
ENST00000395460	ENSG00000149179	C11orf49
ENST00000378615	ENSG00000149179	C11orf49
ENST00000526827	ENSG00000149179	C11orf49
ENST00000445009	ENSG00000231617	DAXX
ENST00000433482	ENSG00000231617	DAXX
ENST00000454197	ENSG00000231617	DAXX
ENST00000622655	ENSG00000231617	DAXX
ENST00000284476	ENSG00000154309	DISP1
ENST00000626871	ENSG00000275003	DDT
ENST00000615721	ENSG00000275003	DDT
ENST00000629401	ENSG00000275003	DDT
ENST00000358901	ENSG00000165280	VCP
ENST00000448530	ENSG00000165280	VCP
ENST00000271640	ENSG00000143379	SETDB1
ENST00000368962	ENSG00000143379	SETDB1
ENST00000534805	ENSG00000143379	SETDB1
ENST00000368969	ENSG00000143379	SETDB1
ENST00000498193	ENSG00000143379	SETDB1
ENST00000600536	ENSG00000269881	AC004754.3
ENST00000334635	ENSG00000109184	DCUN1D4
ENST00000381441	ENSG00000109184	DCUN1D4
ENST00000451288	ENSG00000109184	DCUN1D4
ENST00000372811	ENSG00000168389	MFSD2A
ENST00000434861	ENSG00000168389	MFSD2A
ENST00000372809	ENSG00000168389	MFSD2A
ENST00000420632	ENSG00000168389	MFSD2A
ENST00000287647	ENSG00000144554	FANCD2
ENST00000419585	ENSG00000144554	FANCD2
ENST00000431693	ENSG00000144554	FANCD2
ENST00000421731	ENSG00000144554	FANCD2
ENST00000383807	ENSG00000144554	FANCD2
ENST00000302101	ENSG00000171786	NHLH1
ENST00000304623	ENSG00000169862	CTNND2
ENST00000513588	ENSG00000169862	CTNND2
ENST00000511377	ENSG00000169862	CTNND2
ENST00000504499	ENSG00000169862	CTNND2
ENST00000503622	ENSG00000169862	CTNND2
ENST00000502551	ENSG00000169862	CTNND2
ENST00000513598	ENSG00000169862	CTNND2
ENST00000508761	ENSG00000169862	CTNND2
ENST00000458100	ENSG00000169862	CTNND2
ENST00000367992	ENSG00000158869	FCER1G
ENST00000289902	ENSG00000158869	FCER1G
ENST00000368171	ENSG00000158473	CD1D
ENST00000572212	ENSG00000261862	KRTAP1-5
ENST00000435664	ENSG00000231135	MDC1
ENST00000416368	ENSG00000231135	MDC1
ENST00000412395	ENSG00000231135	MDC1
ENST00000430358	ENSG00000231135	MDC1
ENST00000546539	ENSG00000231135	MDC1
ENST00000309212	ENSG00000162576	MXRA8
ENST00000445648	ENSG00000162576	MXRA8
ENST00000477278	ENSG00000162576	MXRA8
ENST00000342753	ENSG00000162576	MXRA8
ENST00000534108	ENSG00000197165	SULT1A2
ENST00000533150	ENSG00000197165	SULT1A2
ENST00000335715	ENSG00000197165	SULT1A2
ENST00000526384	ENSG00000197165	SULT1A2
ENST00000395630	ENSG00000197165	SULT1A2
ENST00000383678	ENSG00000163607	GTPBP8
ENST00000383677	ENSG00000163607	GTPBP8
ENST00000295864	ENSG00000163607	GTPBP8
ENST00000485330	ENSG00000163607	GTPBP8
ENST00000488781	ENSG00000163607	GTPBP8
ENST00000467752	ENSG00000163607	GTPBP8
ENST00000473129	ENSG00000163607	GTPBP8
ENST00000619116	ENSG00000163607	GTPBP8
ENST00000618381	ENSG00000163607	GTPBP8
ENST00000330949	ENSG00000182968	SOX1
ENST00000225792	ENSG00000108654	DDX5
ENST00000450599	ENSG00000108654	DDX5
ENST00000578804	ENSG00000108654	DDX5
ENST00000579996	ENSG00000108654	DDX5
ENST00000577787	ENSG00000108654	DDX5
ENST00000577922	ENSG00000108654	DDX5
ENST00000581697	ENSG00000108654	DDX5
ENST00000581806	ENSG00000108654	DDX5
ENST00000578190	ENSG00000108654	DDX5
ENST00000422156	ENSG00000166908	PIP4K2C
ENST00000540759	ENSG00000166908	PIP4K2C
ENST00000551772	ENSG00000166908	PIP4K2C
ENST00000550465	ENSG00000166908	PIP4K2C
ENST00000550095	ENSG00000166908	PIP4K2C
ENST00000354947	ENSG00000166908	PIP4K2C
ENST00000548264	ENSG00000166908	PIP4K2C
ENST00000443891	ENSG00000144579	CTDSP1
ENST00000273062	ENSG00000144579	CTDSP1
ENST00000452977	ENSG00000144579	CTDSP1
ENST00000428361	ENSG00000144579	CTDSP1
ENST00000389060	ENSG00000188676	IDO2
ENST00000502986	ENSG00000188676	IDO2
ENST00000001146	ENSG00000003137	CYP26B1
ENST00000412253	ENSG00000003137	CYP26B1
ENST00000474509	ENSG00000003137	CYP26B1
ENST00000461519	ENSG00000003137	CYP26B1
ENST00000546307	ENSG00000003137	CYP26B1
ENST00000268607	ENSG00000140941	MAP1LC3B
ENST00000565788	ENSG00000140941	MAP1LC3B
ENST00000398051	ENSG00000125388	GRK4
ENST00000398052	ENSG00000125388	GRK4
ENST00000345167	ENSG00000125388	GRK4
ENST00000504933	ENSG00000125388	GRK4
ENST00000632950	ENSG00000282651	CH17-224D4.2
ENST00000304061	ENSG00000170468	C14orf169
ENST00000299441	ENSG00000166341	DCHS1
ENST00000436428	ENSG00000215183	MSMP
ENST00000372486	ENSG00000148335	NTMT1
ENST00000372483	ENSG00000148335	NTMT1
ENST00000481189	ENSG00000148335	NTMT1
ENST00000459968	ENSG00000148335	NTMT1
ENST00000482347	ENSG00000148335	NTMT1
ENST00000372481	ENSG00000148335	NTMT1
ENST00000372480	ENSG00000148335	NTMT1
ENST00000613644	ENSG00000148335	NTMT1
ENST00000617943	ENSG00000148335	NTMT1
ENST00000611055	ENSG00000148335	NTMT1
ENST00000322244	ENSG00000033178	UBA6
ENST00000514261	ENSG00000033178	UBA6
ENST00000505673	ENSG00000033178	UBA6
ENST00000420827	ENSG00000033178	UBA6
ENST00000316409	ENSG00000176973	FAM89B
ENST00000449319	ENSG00000176973	FAM89B
ENST00000530349	ENSG00000176973	FAM89B
ENST00000417024	ENSG00000109066	TMEM104
ENST00000578764	ENSG00000109066	TMEM104
ENST00000582773	ENSG00000109066	TMEM104
ENST00000582330	ENSG00000109066	TMEM104
ENST00000335464	ENSG00000109066	TMEM104
ENST00000392314	ENSG00000144339	TMEFF2
ENST00000272771	ENSG00000144339	TMEFF2
ENST00000409056	ENSG00000144339	TMEFF2
ENST00000371957	ENSG00000198870	STKLD1
ENST00000380808	ENSG00000132938	MTUS2
ENST00000542829	ENSG00000132938	MTUS2
ENST00000406477	ENSG00000188677	PARVB
ENST00000338758	ENSG00000188677	PARVB
ENST00000444029	ENSG00000188677	PARVB
ENST00000404989	ENSG00000188677	PARVB
ENST00000619710	ENSG00000188677	PARVB
ENST00000534526	ENSG00000139132	FGD4
ENST00000531134	ENSG00000139132	FGD4
ENST00000472289	ENSG00000139132	FGD4
ENST00000427716	ENSG00000139132	FGD4
ENST00000546442	ENSG00000139132	FGD4
ENST00000525053	ENSG00000139132	FGD4
ENST00000494977	ENSG00000139132	FGD4
ENST00000394243	ENSG00000171992	SYNPO
ENST00000522122	ENSG00000171992	SYNPO
ENST00000307662	ENSG00000171992	SYNPO
ENST00000519664	ENSG00000171992	SYNPO
ENST00000612291	ENSG00000276780	NLRP10
ENST00000612389	ENSG00000277540	KIR2DL4
ENST00000611244	ENSG00000277540	KIR2DL4
ENST00000622365	ENSG00000277540	KIR2DL4
ENST00000229595	ENSG00000111875	ASF1A
ENST00000457728	ENSG00000223590	MUC21
ENST00000376335	ENSG00000043355	ZIC2
ENST00000620342	ENSG00000043355	ZIC2
ENST00000373783	ENSG00000181915	ADO
ENST00000321531	ENSG00000143450	OAZ3
ENST00000453029	ENSG00000143450	OAZ3
ENST00000400999	ENSG00000143450	OAZ3
ENST00000582415	ENSG00000143450	OAZ3
ENST00000627780	ENSG00000143450	OAZ3
ENST00000218099	ENSG00000101981	F9
ENST00000394090	ENSG00000101981	F9
ENST00000216122	ENSG00000100297	MCM5
ENST00000382011	ENSG00000100297	MCM5
ENST00000416905	ENSG00000100297	MCM5
ENST00000612896	ENSG00000278362	NCR1
ENST00000620906	ENSG00000278362	NCR1
ENST00000611105	ENSG00000278362	NCR1
ENST00000613135	ENSG00000278362	NCR1
ENST00000621059	ENSG00000278362	NCR1
ENST00000620296	ENSG00000278362	NCR1
ENST00000617784	ENSG00000278362	NCR1
ENST00000619451	ENSG00000278362	NCR1
ENST00000278949	ENSG00000160588	MPZL3
ENST00000525386	ENSG00000160588	MPZL3
ENST00000527472	ENSG00000160588	MPZL3
ENST00000446386	ENSG00000160588	MPZL3
ENST00000233596	ENSG00000115255	REEP6
ENST00000395479	ENSG00000115255	REEP6
ENST00000395484	ENSG00000115255	REEP6
ENST00000606025	ENSG00000258881	AC007040.11
ENST00000620773	ENSG00000275243	TRBV16
ENST00000304298	ENSG00000170276	HSPB2
ENST00000404752	ENSG00000243244	STON1
ENST00000406226	ENSG00000243244	STON1
ENST00000335080	ENSG00000186280	KDM4D
ENST00000536741	ENSG00000186280	KDM4D
ENST00000610872	ENSG00000186280	KDM4D
ENST00000326258	ENSG00000179919	OR10A7
ENST00000426802	ENSG00000226257	STK19
ENST00000452688	ENSG00000226257	STK19
ENST00000549310	ENSG00000226257	STK19
ENST00000350881	ENSG00000113296	THBS4
ENST00000511733	ENSG00000113296	THBS4
ENST00000367807	ENSG00000117475	BLZF1
ENST00000367808	ENSG00000117475	BLZF1
ENST00000329281	ENSG00000117475	BLZF1
ENST00000420531	ENSG00000117475	BLZF1
ENST00000426663	ENSG00000117475	BLZF1
ENST00000442628	ENSG00000185189	NRBP2
ENST00000530347	ENSG00000185189	NRBP2
ENST00000256999	ENSG00000086205	FOLH1
ENST00000356696	ENSG00000086205	FOLH1
ENST00000525826	ENSG00000086205	FOLH1
ENST00000340334	ENSG00000086205	FOLH1
ENST00000533034	ENSG00000086205	FOLH1
ENST00000533510	ENSG00000086205	FOLH1
ENST00000529648	ENSG00000086205	FOLH1
ENST00000343844	ENSG00000086205	FOLH1
ENST00000519973	ENSG00000147454	SLC25A37
ENST00000417331	ENSG00000147454	SLC25A37
ENST00000290075	ENSG00000147454	SLC25A37
ENST00000523930	ENSG00000147454	SLC25A37
ENST00000454607	ENSG00000272897	RP1-309K20.6
ENST00000541176	ENSG00000272897	RP1-309K20.6
ENST00000390006	ENSG00000141562	NARF
ENST00000309794	ENSG00000141562	NARF
ENST00000345415	ENSG00000141562	NARF
ENST00000542859	ENSG00000073910	FRY
ENST00000380250	ENSG00000073910	FRY
ENST00000409920	ENSG00000196975	ANXA4
ENST00000394295	ENSG00000196975	ANXA4
ENST00000635311	ENSG00000196975	ANXA4
ENST00000529397	ENSG00000154114	TBCEL
ENST00000422003	ENSG00000154114	TBCEL
ENST00000452236	ENSG00000232040	ZBED9
ENST00000502578	ENSG00000250364	OR12D3
ENST00000551240	ENSG00000250364	OR12D3
ENST00000432796	ENSG00000128652	HOXD3
ENST00000410016	ENSG00000128652	HOXD3
ENST00000249440	ENSG00000128652	HOXD3
ENST00000579192	ENSG00000125434	SLC25A35
ENST00000380067	ENSG00000125434	SLC25A35
ENST00000585311	ENSG00000125434	SLC25A35
ENST00000580340	ENSG00000125434	SLC25A35
ENST00000579681	ENSG00000125434	SLC25A35
ENST00000577745	ENSG00000125434	SLC25A35
ENST00000504087	ENSG00000151458	ANKRD50
ENST00000515641	ENSG00000151458	ANKRD50
ENST00000222598	ENSG00000105880	DLX5
ENST00000486603	ENSG00000105880	DLX5
ENST00000566037	ENSG00000102893	PHKB
ENST00000566044	ENSG00000102893	PHKB
ENST00000299167	ENSG00000102893	PHKB
ENST00000323584	ENSG00000102893	PHKB
ENST00000563376	ENSG00000102893	PHKB
ENST00000570047	ENSG00000102893	PHKB
ENST00000566275	ENSG00000102893	PHKB
ENST00000340020	ENSG00000186063	AIDA
ENST00000355727	ENSG00000186063	AIDA
ENST00000307584	ENSG00000170681	MURC
ENST00000343735	ENSG00000066405	CLDN18
ENST00000183605	ENSG00000066405	CLDN18
ENST00000479660	ENSG00000066405	CLDN18
ENST00000379445	ENSG00000205279	CTXN3
ENST00000395322	ENSG00000205279	CTXN3
ENST00000620385	ENSG00000205279	CTXN3
ENST00000575135	ENSG00000166676	TVP23A
ENST00000456096	ENSG00000166676	TVP23A
ENST00000572428	ENSG00000166676	TVP23A
ENST00000299866	ENSG00000166676	TVP23A
ENST00000572102	ENSG00000166676	TVP23A
ENST00000619408	ENSG00000166676	TVP23A
ENST00000612195	ENSG00000166676	TVP23A
ENST00000342784	ENSG00000105137	SYDE1
ENST00000600440	ENSG00000105137	SYDE1
ENST00000600252	ENSG00000105137	SYDE1
ENST00000602203	ENSG00000105137	SYDE1
ENST00000390634	ENSG00000211974	IGHV2-70
ENST00000314567	ENSG00000205643	CDPF1
ENST00000494710	ENSG00000116675	DNAJC6
ENST00000395325	ENSG00000116675	DNAJC6
ENST00000371069	ENSG00000116675	DNAJC6
ENST00000263441	ENSG00000116675	DNAJC6
ENST00000342287	ENSG00000167081	PBX3
ENST00000373487	ENSG00000167081	PBX3
ENST00000373489	ENSG00000167081	PBX3
ENST00000373492	ENSG00000167081	PBX3
ENST00000373482	ENSG00000167081	PBX3
ENST00000491787	ENSG00000167081	PBX3
ENST00000447726	ENSG00000167081	PBX3
ENST00000428092	ENSG00000167081	PBX3
ENST00000432126	ENSG00000081791	KIAA0141
ENST00000194118	ENSG00000081791	KIAA0141
ENST00000508780	ENSG00000173221	GLRX
ENST00000237858	ENSG00000173221	GLRX
ENST00000379979	ENSG00000173221	GLRX
ENST00000505427	ENSG00000173221	GLRX
ENST00000512469	ENSG00000173221	GLRX
ENST00000444572	ENSG00000170959	DCDC1
ENST00000303697	ENSG00000170959	DCDC1
ENST00000597505	ENSG00000170959	DCDC1
ENST00000342355	ENSG00000170959	DCDC1
ENST00000452803	ENSG00000170959	DCDC1
ENST00000406071	ENSG00000170959	DCDC1
ENST00000302957	ENSG00000172457	OR9G4
ENST00000267938	ENSG00000140367	UBE2Q2
ENST00000569423	ENSG00000140367	UBE2Q2
ENST00000561723	ENSG00000140367	UBE2Q2
ENST00000561851	ENSG00000140367	UBE2Q2
ENST00000435204	ENSG00000234154	HLA-DMB
ENST00000441177	ENSG00000234154	HLA-DMB
ENST00000418759	ENSG00000234154	HLA-DMB
ENST00000424822	ENSG00000234154	HLA-DMB
ENST00000430099	ENSG00000234154	HLA-DMB
ENST00000261700	ENSG00000087302	C14orf166
ENST00000556760	ENSG00000087302	C14orf166
ENST00000394236	ENSG00000184500	PROS1
ENST00000407433	ENSG00000184500	PROS1
ENST00000348974	ENSG00000184500	PROS1
ENST00000472684	ENSG00000184500	PROS1
ENST00000300413	ENSG00000167088	SNRPD1
ENST00000579618	ENSG00000167088	SNRPD1
ENST00000582475	ENSG00000167088	SNRPD1
ENST00000430249	ENSG00000021826	CPS1
ENST00000233072	ENSG00000021826	CPS1
ENST00000451903	ENSG00000021826	CPS1
ENST00000619804	ENSG00000021826	CPS1
ENST00000321728	ENSG00000166501	PRKCB
ENST00000303531	ENSG00000166501	PRKCB
ENST00000498058	ENSG00000166501	PRKCB
ENST00000498739	ENSG00000166501	PRKCB
ENST00000472066	ENSG00000166501	PRKCB
ENST00000466124	ENSG00000166501	PRKCB
ENST00000505802	ENSG00000272442	RP11-444E17.6
ENST00000465076	ENSG00000176986	SEC24C
ENST00000345254	ENSG00000176986	SEC24C
ENST00000339365	ENSG00000176986	SEC24C
ENST00000272067	ENSG00000143727	ACP1
ENST00000272065	ENSG00000143727	ACP1
ENST00000413140	ENSG00000143727	ACP1
ENST00000407983	ENSG00000143727	ACP1
ENST00000439645	ENSG00000143727	ACP1
ENST00000405233	ENSG00000143727	ACP1
ENST00000453390	ENSG00000143727	ACP1
ENST00000379446	ENSG00000111859	NEDD9
ENST00000504387	ENSG00000111859	NEDD9
ENST00000379433	ENSG00000111859	NEDD9
ENST00000513989	ENSG00000111859	NEDD9
ENST00000397378	ENSG00000111859	NEDD9
ENST00000306085	ENSG00000169871	TRIM56
ENST00000412507	ENSG00000169871	TRIM56
ENST00000467847	ENSG00000169871	TRIM56
ENST00000397061	ENSG00000213965	NUDT19
ENST00000374640	ENSG00000159189	C1QC
ENST00000374639	ENSG00000159189	C1QC
ENST00000374637	ENSG00000159189	C1QC
ENST00000335040	ENSG00000186943	OR13C8
ENST00000261488	ENSG00000120658	ENOX1
ENST00000412891	ENSG00000120658	ENOX1
ENST00000358232	ENSG00000134759	ELP2
ENST00000351393	ENSG00000134759	ELP2
ENST00000442325	ENSG00000134759	ELP2
ENST00000423854	ENSG00000134759	ELP2
ENST00000539560	ENSG00000134759	ELP2
ENST00000542430	ENSG00000134759	ELP2
ENST00000350494	ENSG00000134759	ELP2
ENST00000542824	ENSG00000134759	ELP2
ENST00000540799	ENSG00000134759	ELP2
ENST00000405975	ENSG00000115970	THADA
ENST00000407351	ENSG00000115970	THADA
ENST00000405006	ENSG00000115970	THADA
ENST00000402796	ENSG00000115970	THADA
ENST00000402360	ENSG00000115970	THADA
ENST00000404790	ENSG00000115970	THADA
ENST00000403856	ENSG00000115970	THADA
ENST00000595646	ENSG00000204604	ZNF468
ENST00000243639	ENSG00000204604	ZNF468
ENST00000597924	ENSG00000204604	ZNF468
ENST00000396409	ENSG00000204604	ZNF468
ENST00000216038	ENSG00000100220	RTCB
ENST00000270631	ENSG00000142538	PTH2
ENST00000481342	ENSG00000091704	CPA1
ENST00000011292	ENSG00000091704	CPA1
ENST00000604896	ENSG00000091704	CPA1
ENST00000476062	ENSG00000091704	CPA1
ENST00000484324	ENSG00000091704	CPA1
ENST00000466202	ENSG00000164675	IQUB
ENST00000324698	ENSG00000164675	IQUB
ENST00000484508	ENSG00000164675	IQUB
ENST00000469057	ENSG00000164675	IQUB
ENST00000377122	ENSG00000078114	NEBL
ENST00000417816	ENSG00000078114	NEBL
ENST00000305456	ENSG00000170923	OR7G2
ENST00000423645	ENSG00000125999	BPIFB1
ENST00000253354	ENSG00000125999	BPIFB1
ENST00000351718	ENSG00000091129	NRCAM
ENST00000379024	ENSG00000091129	NRCAM
ENST00000425651	ENSG00000091129	NRCAM
ENST00000445634	ENSG00000091129	NRCAM
ENST00000417701	ENSG00000091129	NRCAM
ENST00000442580	ENSG00000091129	NRCAM
ENST00000419936	ENSG00000091129	NRCAM
ENST00000456431	ENSG00000091129	NRCAM
ENST00000379028	ENSG00000091129	NRCAM
ENST00000413765	ENSG00000091129	NRCAM
ENST00000379022	ENSG00000091129	NRCAM
ENST00000613830	ENSG00000091129	NRCAM
ENST00000406516	ENSG00000182541	LIMK2
ENST00000331728	ENSG00000182541	LIMK2
ENST00000425203	ENSG00000182541	LIMK2
ENST00000333611	ENSG00000182541	LIMK2
ENST00000340552	ENSG00000182541	LIMK2
ENST00000600228	ENSG00000204611	ZNF616
ENST00000330123	ENSG00000204611	ZNF616
ENST00000596290	ENSG00000204611	ZNF616
ENST00000597013	ENSG00000204611	ZNF616
ENST00000600282	ENSG00000204611	ZNF616
ENST00000215739	ENSG00000099949	LZTR1
ENST00000415817	ENSG00000099949	LZTR1
ENST00000525417	ENSG00000212710	CTAGE1
ENST00000391403	ENSG00000212710	CTAGE1
ENST00000369816	ENSG00000118402	ELOVL4
ENST00000280285	ENSG00000150712	MTMR12
ENST00000382142	ENSG00000150712	MTMR12
ENST00000264934	ENSG00000150712	MTMR12
ENST00000388820	ENSG00000136378	ADAMTS7
ENST00000497771	ENSG00000187922	LCN10
ENST00000474369	ENSG00000187922	LCN10
ENST00000264914	ENSG00000113273	ARSB
ENST00000396151	ENSG00000113273	ARSB
ENST00000565165	ENSG00000113273	ARSB
ENST00000381032	ENSG00000205642	VCX3B
ENST00000367928	ENSG00000112299	VNN1
ENST00000379919	ENSG00000180660	MAB21L1
