# Sample_ID	Tissue_General	Tissue_Specific
GTEX-PLZ6-1326-SM-3NB24	Adipose Tissue	Adipose - Subcutaneous
GTEX-POMQ-2326-SM-5S2VS	Adipose Tissue	Adipose - Subcutaneous
GTEX-POYW-0726-SM-2XCEO	Adipose Tissue	Adipose - Subcutaneous
GTEX-PSDG-0326-SM-48TCP	Adipose Tissue	Adipose - Subcutaneous
GTEX-PWCY-1926-SM-3NB25	Adipose Tissue	Adipose - Subcutaneous
GTEX-PWN1-0226-SM-5SI7O	Adipose Tissue	Adipose - Subcutaneous
GTEX-PWOO-2226-SM-2S1P1	Adipose Tissue	Adipose - Subcutaneous
GTEX-PX3G-0226-SM-3NB2C	Adipose Tissue	Adipose - Subcutaneous
GTEX-Q2AG-0226-SM-2S1P4	Adipose Tissue	Adipose - Subcutaneous
GTEX-Q2AH-1726-SM-3NB2B	Adipose Tissue	Adipose - Subcutaneous
GTEX-Q2AI-1426-SM-2S1P5	Adipose Tissue	Adipose - Subcutaneous
GTEX-Q734-1826-SM-2I3EL	Adipose Tissue	Adipose - Subcutaneous
GTEX-QCQG-1826-SM-2S1P2	Adipose Tissue	Adipose - Subcutaneous
GTEX-QDT8-0226-SM-32PL4	Adipose Tissue	Adipose - Subcutaneous
GTEX-QDVJ-1826-SM-2S1P3	Adipose Tissue	Adipose - Subcutaneous
GTEX-QEG4-0326-SM-5S2UQ	Adipose Tissue	Adipose - Subcutaneous
GTEX-QEG5-0326-SM-2S1PB	Adipose Tissue	Adipose - Subcutaneous
GTEX-QEL4-0326-SM-3GAE5	Adipose Tissue	Adipose - Subcutaneous
GTEX-QESD-1526-SM-2S1QT	Adipose Tissue	Adipose - Subcutaneous
GTEX-QLQ7-1526-SM-2S1QA	Adipose Tissue	Adipose - Subcutaneous
GTEX-QLQW-1226-SM-2S1Q9	Adipose Tissue	Adipose - Subcutaneous
GTEX-QMRM-1726-SM-2S1QG	Adipose Tissue	Adipose - Subcutaneous
GTEX-QV31-1326-SM-2S1QE	Adipose Tissue	Adipose - Subcutaneous
GTEX-QV44-1825-SM-447CF	Adipose Tissue	Adipose - Subcutaneous
GTEX-R55C-1626-SM-48FEG	Adipose Tissue	Adipose - Subcutaneous
GTEX-R55D-0326-SM-48FES	Adipose Tissue	Adipose - Subcutaneous
GTEX-R55F-1426-SM-2TF53	Adipose Tissue	Adipose - Subcutaneous
GTEX-R55G-2426-SM-2TC5I	Adipose Tissue	Adipose - Subcutaneous
GTEX-REY6-0326-SM-2TF5A	Adipose Tissue	Adipose - Subcutaneous
GTEX-RM2N-1726-SM-2TF55	Adipose Tissue	Adipose - Subcutaneous
GTEX-RTLS-0226-SM-2TF5E	Adipose Tissue	Adipose - Subcutaneous
GTEX-RU72-1026-SM-46MUG	Adipose Tissue	Adipose - Subcutaneous
GTEX-RVPU-2326-SM-2TF6R	Adipose Tissue	Adipose - Subcutaneous
GTEX-RWSA-0226-SM-2XCBA	Adipose Tissue	Adipose - Subcutaneous
GTEX-S32W-2226-SM-2XCAY	Adipose Tissue	Adipose - Subcutaneous
GTEX-S33H-1126-SM-2XCB6	Adipose Tissue	Adipose - Subcutaneous
GTEX-S341-1626-SM-3K2B8	Adipose Tissue	Adipose - Subcutaneous
GTEX-S3XE-1626-SM-3K2AJ	Adipose Tissue	Adipose - Subcutaneous
GTEX-S4P3-1526-SM-3K2AV	Adipose Tissue	Adipose - Subcutaneous
GTEX-S4Q7-1626-SM-3K2AE	Adipose Tissue	Adipose - Subcutaneous
GTEX-S4UY-0226-SM-3K2AP	Adipose Tissue	Adipose - Subcutaneous
GTEX-S4Z8-1726-SM-3K2AX	Adipose Tissue	Adipose - Subcutaneous
GTEX-S7SE-0226-SM-2XCD4	Adipose Tissue	Adipose - Subcutaneous
GTEX-S7SF-1826-SM-3K2AD	Adipose Tissue	Adipose - Subcutaneous
GTEX-S95S-1326-SM-2XCDK	Adipose Tissue	Adipose - Subcutaneous
GTEX-SIU8-0226-SM-2XCDS	Adipose Tissue	Adipose - Subcutaneous
GTEX-SJXC-0226-SM-2XCDU	Adipose Tissue	Adipose - Subcutaneous
GTEX-SN8G-0226-SM-4DM6B	Adipose Tissue	Adipose - Subcutaneous
GTEX-SNMC-1326-SM-2XCFK	Adipose Tissue	Adipose - Subcutaneous
GTEX-SNOS-1426-SM-32PLY	Adipose Tissue	Adipose - Subcutaneous
GTEX-SSA3-0226-SM-32QPN	Adipose Tissue	Adipose - Subcutaneous
GTEX-SUCS-1826-SM-32PM1	Adipose Tissue	Adipose - Subcutaneous
GTEX-T2IS-0226-SM-32QPH	Adipose Tissue	Adipose - Subcutaneous
GTEX-T5JC-0526-SM-32PM7	Adipose Tissue	Adipose - Subcutaneous
GTEX-T5JW-1726-SM-3GADN	Adipose Tissue	Adipose - Subcutaneous
GTEX-T6MN-0226-SM-32PMD	Adipose Tissue	Adipose - Subcutaneous
GTEX-T6MO-1726-SM-33HB8	Adipose Tissue	Adipose - Subcutaneous
GTEX-T8EM-1126-SM-3DB7D	Adipose Tissue	Adipose - Subcutaneous
GTEX-TKQ1-1126-SM-4GIAZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-TML8-2026-SM-32QOP	Adipose Tissue	Adipose - Subcutaneous
GTEX-TMZS-0226-SM-3DB9N	Adipose Tissue	Adipose - Subcutaneous
GTEX-TSE9-0226-SM-3DB84	Adipose Tissue	Adipose - Subcutaneous
GTEX-U3ZN-2626-SM-3DB7T	Adipose Tissue	Adipose - Subcutaneous
GTEX-U412-0526-SM-3DB9I	Adipose Tissue	Adipose - Subcutaneous
GTEX-U4B1-1726-SM-3DB9F	Adipose Tissue	Adipose - Subcutaneous
GTEX-U8XE-0426-SM-3DB91	Adipose Tissue	Adipose - Subcutaneous
GTEX-UJHI-1626-SM-3DB9A	Adipose Tissue	Adipose - Subcutaneous
GTEX-UTHO-0426-SM-5SI7N	Adipose Tissue	Adipose - Subcutaneous
GTEX-VUSG-2426-SM-4KKZG	Adipose Tissue	Adipose - Subcutaneous
GTEX-W5WG-2526-SM-4SOJ2	Adipose Tissue	Adipose - Subcutaneous
GTEX-W5X1-2626-SM-4LMI8	Adipose Tissue	Adipose - Subcutaneous
GTEX-WEY5-1926-SM-3GIL8	Adipose Tissue	Adipose - Subcutaneous
GTEX-WFG8-2326-SM-5S2UE	Adipose Tissue	Adipose - Subcutaneous
GTEX-WFJO-1926-SM-3GILA	Adipose Tissue	Adipose - Subcutaneous
GTEX-WFON-2226-SM-3TW8W	Adipose Tissue	Adipose - Subcutaneous
GTEX-WH7G-2226-SM-3NMBN	Adipose Tissue	Adipose - Subcutaneous
GTEX-WI4N-1126-SM-3LK7Q	Adipose Tissue	Adipose - Subcutaneous
GTEX-WL46-0326-SM-3LK6Y	Adipose Tissue	Adipose - Subcutaneous
GTEX-WVJS-0226-SM-4MVOU	Adipose Tissue	Adipose - Subcutaneous
GTEX-WVLH-0226-SM-3MJG6	Adipose Tissue	Adipose - Subcutaneous
GTEX-WY7C-2426-SM-3NB2V	Adipose Tissue	Adipose - Subcutaneous
GTEX-X15G-2326-SM-4PQZS	Adipose Tissue	Adipose - Subcutaneous
GTEX-X261-0226-SM-3NMD2	Adipose Tissue	Adipose - Subcutaneous
GTEX-X4EO-0426-SM-4QASA	Adipose Tissue	Adipose - Subcutaneous
GTEX-X4LF-1726-SM-3NMBZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-X4XY-0326-SM-46MVZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-X5EB-2426-SM-4E3HX	Adipose Tissue	Adipose - Subcutaneous
GTEX-X638-0226-SM-47JZ9	Adipose Tissue	Adipose - Subcutaneous
GTEX-X88G-0226-SM-4GIE4	Adipose Tissue	Adipose - Subcutaneous
GTEX-X8HC-0226-SM-4E3K1	Adipose Tissue	Adipose - Subcutaneous
GTEX-XAJ8-0926-SM-47JXZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-XBEC-0326-SM-4AT4M	Adipose Tissue	Adipose - Subcutaneous
GTEX-XBED-2326-SM-47JYR	Adipose Tissue	Adipose - Subcutaneous
GTEX-XBEW-0726-SM-4QARX	Adipose Tissue	Adipose - Subcutaneous
GTEX-XGQ4-2226-SM-4AT4Y	Adipose Tissue	Adipose - Subcutaneous
GTEX-XK95-0426-SM-4AT4R	Adipose Tissue	Adipose - Subcutaneous
GTEX-XLM4-0226-SM-4AT4N	Adipose Tissue	Adipose - Subcutaneous
GTEX-XMD2-0226-SM-4WWEE	Adipose Tissue	Adipose - Subcutaneous
GTEX-XMK1-2226-SM-4B673	Adipose Tissue	Adipose - Subcutaneous
GTEX-XOTO-0226-SM-4B66H	Adipose Tissue	Adipose - Subcutaneous
GTEX-XPVG-2726-SM-4B66W	Adipose Tissue	Adipose - Subcutaneous
GTEX-XQ3S-1626-SM-4WAYN	Adipose Tissue	Adipose - Subcutaneous
GTEX-XQ8I-0526-SM-4BOPS	Adipose Tissue	Adipose - Subcutaneous
GTEX-XUJ4-2526-SM-4BOO4	Adipose Tissue	Adipose - Subcutaneous
GTEX-XUW1-0526-SM-4BOP3	Adipose Tissue	Adipose - Subcutaneous
GTEX-XUYS-0226-SM-47JX1	Adipose Tissue	Adipose - Subcutaneous
GTEX-XUZC-1826-SM-4BRVO	Adipose Tissue	Adipose - Subcutaneous
GTEX-XV7Q-2626-SM-4BRVA	Adipose Tissue	Adipose - Subcutaneous
GTEX-XXEK-2426-SM-4BRUS	Adipose Tissue	Adipose - Subcutaneous
GTEX-XYKS-2726-SM-4E3IC	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y111-0226-SM-4SOIW	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y114-2326-SM-4TT7X	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y3I4-2226-SM-4TT7O	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y3IK-2526-SM-4WWDM	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y5V5-2426-SM-5IFJA	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y5V6-2526-SM-5IFJV	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y8E4-0726-SM-4WWFN	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y8E5-0226-SM-57WCM	Adipose Tissue	Adipose - Subcutaneous
GTEX-Y8LW-1926-SM-4WWFZ	Adipose Tissue	Adipose - Subcutaneous
GTEX-YB5E-2126-SM-5IFI7	Adipose Tissue	Adipose - Subcutaneous
GTEX-YB5K-2226-SM-4WWG1	Adipose Tissue	Adipose - Subcutaneous
GTEX-YEC3-1226-SM-5IFI8	Adipose Tissue	Adipose - Subcutaneous
GTEX-YEC4-2426-SM-57WFO	Adipose Tissue	Adipose - Subcutaneous
GTEX-YECK-0226-SM-4W215	Adipose Tissue	Adipose - Subcutaneous
GTEX-YF7O-2426-SM-5IFJL	Adipose Tissue	Adipose - Subcutaneous
GTEX-YFC4-0226-SM-57WD2	Adipose Tissue	Adipose - Subcutaneous
GTEX-YFCO-2026-SM-4W21Q	Adipose Tissue	Adipose - Subcutaneous
GTEX-YJ89-0226-SM-4TT3Y	Adipose Tissue	Adipose - Subcutaneous
GTEX-YJ8A-0526-SM-5IFHT	Adipose Tissue	Adipose - Subcutaneous
GTEX-YJ8O-2426-SM-5HL7S	Adipose Tissue	Adipose - Subcutaneous
GTEX-Z93S-0226-SM-5HL7R	Adipose Tissue	Adipose - Subcutaneous
GTEX-Z93T-0226-SM-5HL5Z	Adipose Tissue	Adipose - Subcutaneous
GTEX-Z9EW-1826-SM-5CVMA	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZAJG-0226-SM-5HL81	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZAK1-0226-SM-5CVMX	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZC5H-0126-SM-4WAYL	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZDTS-0226-SM-5HL7Q	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZDTT-2626-SM-5S2OP	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZDXO-2426-SM-5S2NJ	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZDYS-2126-SM-5S2OD	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZE7O-0226-SM-5S2N1	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZE9C-2826-SM-5S2MO	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZEX8-2326-SM-5S2MN	Adipose Tissue	Adipose - Subcutaneous
GTEX-ZF28-0226-SM-5S2OE	Adipose Tissue	Adipose - Subcutaneous
