SAMPID	SMTSD
GTEX-RTLS-0926-SM-2TWBR	Lung
GTEX-RTLS-1126-SM-46MUQ	Esophagus - Mucosa
GTEX-RTLS-1226-SM-46MUP	Esophagus - Muscularis
GTEX-RTLS-1326-SM-46MUN	Liver
GTEX-RTLS-2326-SM-46MUH	Ovary
GTEX-RTLS-2426-SM-46MUO	Uterus
GTEX-RTLS-2626-SM-46MUJ	Stomach
GTEX-RU1J-0002-SM-2RXF5	Whole Blood
GTEX-RU1J-0002-SM-2XK2V	Whole Blood
GTEX-RU1J-0002-SM-3USSC	Whole Blood
GTEX-RU1J-0002-SM-5URDF	Whole Blood
GTEX-RU1J-0003-SM-2XV76	Cells - EBV-transformed lymphocytes
GTEX-RU1J-0003-SM-3K2A8	Cells - EBV-transformed lymphocytes
GTEX-RU1J-0006-SM-2TF6M	Whole Blood
GTEX-RU1J-0006-SM-2TWC6	Whole Blood
GTEX-RU1J-0008-SM-46MV9	Cells - Transformed fibroblasts
GTEX-RU1J-0126-SM-2TF6Y	Lung
GTEX-RU1J-0126-SM-2TWBN	Lung
GTEX-RU1J-0226-SM-2TF5Y	Thyroid
GTEX-RU1J-0226-SM-2TWBC	Thyroid
GTEX-RU1J-0326-SM-46MUM	Esophagus - Mucosa
GTEX-RU1J-0426-SM-46MUK	Esophagus - Muscularis
GTEX-RU1J-0526-SM-46MUT	Stomach
GTEX-RU1J-0626-SM-4WAWY	Breast - Mammary Tissue
GTEX-RU1J-0826-SM-46MUU	Ovary
GTEX-RU1J-1026-SM-46MUR	Uterus
GTEX-RU1J-1326-SM-46MUL	Colon - Transverse
GTEX-RU1J-1426-SM-46MUV	Vagina
GTEX-RU1J-1726-SM-2TF5S	Muscle - Skeletal
GTEX-RU1J-1726-SM-2TWCK	Muscle - Skeletal
GTEX-RU1J-1926-SM-2TF6S	Artery - Tibial
GTEX-RU1J-1926-SM-2TWBP	Artery - Tibial
GTEX-RU72-0004-SM-2RXF6	Whole Blood
GTEX-RU72-0004-SM-2XK2S	Whole Blood
GTEX-RU72-0004-SM-4X623	Whole Blood
GTEX-RU72-0004-SM-5SOEJ	Whole Blood
GTEX-RU72-0006-SM-2TF65	Whole Blood
GTEX-RU72-0006-SM-2TWCA	Whole Blood
GTEX-RU72-0008-SM-46MV8	Cells - Transformed fibroblasts
GTEX-RU72-0011-R10A-SM-2TF6D	Brain - Frontal Cortex (BA9)
GTEX-RU72-0011-R10A-SM-2TWD4	Brain - Frontal Cortex (BA9)
GTEX-RU72-0011-R11A-SM-2TF6J	Brain - Cerebellar Hemisphere
GTEX-RU72-0011-R11A-SM-2TWD7	Brain - Cerebellar Hemisphere
GTEX-RU72-0011-R11A-SM-5SI8G	Brain - Cerebellar Hemisphere
GTEX-RU72-0011-R1A-SM-2TWD2	Brain - Hippocampus
GTEX-RU72-0011-R2A-SM-2TF6O	Brain - Substantia nigra
GTEX-RU72-0011-R2A-SM-2TWDC	Brain - Substantia nigra
GTEX-RU72-0011-R5A-SM-2TF6U	Brain - Caudate (basal ganglia)
GTEX-RU72-0011-R5A-SM-2TWCN	Brain - Caudate (basal ganglia)
GTEX-RU72-0011-R6A-SM-2TF71	Brain - Nucleus accumbens (basal ganglia)
GTEX-RU72-0011-R6A-SM-2TWCU	Brain - Nucleus accumbens (basal ganglia)
GTEX-RU72-0011-R7A-SM-2TF5U	Brain - Putamen (basal ganglia)
GTEX-RU72-0011-R7A-SM-2TWD8	Brain - Putamen (basal ganglia)
GTEX-RU72-0011-R8A-SM-2TF61	Brain - Hypothalamus
GTEX-RU72-0011-R8A-SM-2TWCW	Brain - Hypothalamus
GTEX-RU72-0011-R9A-SM-2TF67	Brain - Spinal cord (cervical c-1)
GTEX-RU72-0011-R9A-SM-2TWBL	Brain - Spinal cord (cervical c-1)
GTEX-RU72-0126-SM-2TF6Z	Thyroid
GTEX-RU72-0126-SM-2TWBK	Thyroid
GTEX-RU72-0226-SM-46MUD	Artery - Coronary
GTEX-RU72-0326-SM-2TF5T	Heart - Left Ventricle
GTEX-RU72-0326-SM-2TWCE	Heart - Left Ventricle
GTEX-RU72-0526-SM-2TF5Z	Lung
GTEX-RU72-0526-SM-2TWBS	Lung
GTEX-RU72-0626-SM-46MUI	Breast - Mammary Tissue
GTEX-RU72-0726-SM-46MUW	Esophagus - Mucosa
GTEX-RU72-0826-SM-46MUS	Esophagus - Muscularis
GTEX-RU72-0926-SM-2TF6B	Skin - Sun Exposed (Lower leg)
GTEX-RU72-0926-SM-2TWAP	Skin - Sun Exposed (Lower leg)
GTEX-RU72-1026-SM-46MUG	Adipose - Subcutaneous
GTEX-RU72-1126-SM-2TF6H	Nerve - Tibial
GTEX-RU72-1126-SM-2TWAV	Nerve - Tibial
GTEX-RU72-1226-SM-2TF6N	Artery - Tibial
GTEX-RU72-1226-SM-2TWBD	Artery - Tibial
GTEX-RU72-1326-SM-2TF6T	Muscle - Skeletal
GTEX-RU72-1326-SM-2TWC9	Muscle - Skeletal
GTEX-RU72-1426-SM-46MUF	Liver
GTEX-RU72-2226-SM-46MUE	Ovary
GTEX-RU72-2626-SM-4GIE1	Uterus
GTEX-RU72-2626-SM-4TT75	Uterus
GTEX-RU72-2926-SM-2TF66	Brain - Cerebellum
GTEX-RU72-2926-SM-2TWB3	Brain - Cerebellum
GTEX-RU72-3026-SM-2TWCD	Brain - Cortex
GTEX-RU72-3026-SM-5SI7Y	Brain - Cortex
GTEX-RU72-3126-SM-46MUB	Pituitary
GTEX-RUSQ-0001-SM-2RXER	Whole Blood
GTEX-RUSQ-0001-SM-2XK38	Whole Blood
GTEX-RUSQ-0001-SM-3UZFR	Whole Blood
GTEX-RUSQ-0001-SM-5JK34	Whole Blood
GTEX-RUSQ-0003-SM-2XCEB	Cells - EBV-transformed lymphocytes
GTEX-RUSQ-0003-SM-2XV75	Cells - EBV-transformed lymphocytes
GTEX-RUSQ-0006-SM-2TF6P	Whole Blood
GTEX-RUSQ-0006-SM-2TWBZ	Whole Blood
GTEX-RUSQ-0126-SM-47JWV	Spleen
GTEX-RUSQ-0226-SM-47JWT	Adrenal Gland
GTEX-RUSQ-0326-SM-47JWS	Artery - Aorta
GTEX-RUSQ-0426-SM-47JWR	Artery - Coronary
GTEX-RUSQ-0526-SM-2TF72	Heart - Left Ventricle
GTEX-RUSQ-0526-SM-2TWCI	Heart - Left Ventricle
GTEX-RUSQ-0626-SM-2TF5V	Lung
GTEX-RUSQ-0626-SM-2TWD6	Lung
GTEX-RUSQ-0826-SM-47JWW	Esophagus - Mucosa
GTEX-RUSQ-0926-SM-47JWU	Esophagus - Muscularis
GTEX-RUSQ-1026-SM-2TF6V	Thyroid
GTEX-RUSQ-1026-SM-2TWD9	Thyroid
GTEX-RUSQ-1526-SM-2TF62	Skin - Sun Exposed (Lower leg)
GTEX-RUSQ-1526-SM-2TWBQ	Skin - Sun Exposed (Lower leg)
GTEX-RUSQ-1726-SM-2TF68	Muscle - Skeletal
GTEX-RUSQ-1726-SM-2TWCJ	Muscle - Skeletal
GTEX-RUSQ-1826-SM-2TF6E	Nerve - Tibial
GTEX-RUSQ-1826-SM-2XU9Q	Nerve - Tibial
GTEX-RUSQ-1926-SM-2TF6K	Artery - Tibial
GTEX-RUSQ-1926-SM-2XUA4	Artery - Tibial
GTEX-RUSQ-2026-SM-4GIAK	Breast - Mammary Tissue
GTEX-RUSQ-2126-SM-47JXK	Testis
GTEX-RVPU-0001-SM-2RXES	Whole Blood
GTEX-RVPU-0001-SM-2XK36	Whole Blood
GTEX-RVPU-0001-SM-4X62C	Whole Blood
GTEX-RVPU-0005-SM-2TF6L	Whole Blood
GTEX-RVPU-0005-SM-2XU97	Whole Blood
GTEX-RVPU-0008-SM-3NM8B	Cells - Transformed fibroblasts
GTEX-RVPU-0011-R10A-SM-2XCAH	Brain - Frontal Cortex (BA9)
GTEX-RVPU-0011-R10A-SM-2XU9G	Brain - Frontal Cortex (BA9)
GTEX-RVPU-0011-R11A-SM-2XCAF	Brain - Cerebellar Hemisphere
GTEX-RVPU-0011-R11A-SM-2XU9W	Brain - Cerebellar Hemisphere
GTEX-RVPU-0011-R1A-SM-2XCAI	Brain - Hippocampus
GTEX-RVPU-0011-R1A-SM-2XUA7	Brain - Hippocampus
GTEX-RVPU-0011-R2A-SM-2XCAG	Brain - Substantia nigra
GTEX-RVPU-0011-R2A-SM-2XU9N	Brain - Substantia nigra
GTEX-RVPU-0011-R3A-SM-2XCAE	Brain - Anterior cingulate cortex (BA24)
GTEX-RVPU-0011-R3A-SM-2XUA9	Brain - Anterior cingulate cortex (BA24)
GTEX-RVPU-0011-R4A-SM-2TF6X	Brain - Amygdala
GTEX-RVPU-0011-R4A-SM-2XU9Y	Brain - Amygdala
GTEX-RVPU-0011-R4A-SM-5SI8K	Brain - Amygdala
GTEX-RVPU-0011-R5A-SM-2XCAD	Brain - Caudate (basal ganglia)
GTEX-RVPU-0011-R5A-SM-2XU9Z	Brain - Caudate (basal ganglia)
GTEX-RVPU-0011-R6A-SM-2XCAC	Brain - Nucleus accumbens (basal ganglia)
GTEX-RVPU-0011-R6A-SM-2XU9I	Brain - Nucleus accumbens (basal ganglia)
GTEX-RVPU-0011-R7A-SM-2XCAB	Brain - Putamen (basal ganglia)
GTEX-RVPU-0011-R7A-SM-2XU9D	Brain - Putamen (basal ganglia)
GTEX-RVPU-0011-R8A-SM-2TF74	Brain - Hypothalamus
GTEX-RVPU-0011-R8A-SM-2XU94	Brain - Hypothalamus
GTEX-RVPU-0011-R8A-SM-5SI8I	Brain - Hypothalamus
GTEX-RVPU-0011-R9A-SM-2XUAM	Brain - Spinal cord (cervical c-1)
GTEX-RVPU-0011-R9A-SM-3NM8E	Brain - Spinal cord (cervical c-1)
GTEX-RVPU-1526-SM-47JXQ	Artery - Tibial
GTEX-RVPU-2226-SM-2XCAQ	Skin - Sun Exposed (Lower leg)
GTEX-RVPU-2226-SM-2XU9A	Skin - Sun Exposed (Lower leg)
GTEX-RVPU-2326-SM-2TF6R	Adipose - Subcutaneous
GTEX-RVPU-2326-SM-2XU8D	Adipose - Subcutaneous
GTEX-RVPU-2426-SM-2XCAR	Muscle - Skeletal
GTEX-RVPU-2426-SM-2XU9M	Muscle - Skeletal
GTEX-RVPV-0003-SM-2RXEQ	Whole Blood
GTEX-RVPV-0003-SM-2XK35	Whole Blood
GTEX-RVPV-0003-SM-3USSI	Whole Blood
GTEX-RVPV-0006-SM-2TF6Q	Whole Blood
GTEX-RVPV-0006-SM-2XUA6	Whole Blood
GTEX-RVPV-0008-SM-47JYW	Cells - Transformed fibroblasts
GTEX-RVPV-0011-R11A-SM-2TF6F	Brain - Cerebellar Hemisphere
GTEX-RVPV-0011-R11A-SM-2XU98	Brain - Cerebellar Hemisphere
GTEX-RVPV-0011-R3A-SM-2TF63	Brain - Anterior cingulate cortex (BA24)
GTEX-RVPV-0011-R3A-SM-2XUAE	Brain - Anterior cingulate cortex (BA24)
GTEX-RVPV-0011-R5A-SM-2TF69	Brain - Caudate (basal ganglia)
GTEX-RVPV-0011-R5A-SM-2XUAC	Brain - Caudate (basal ganglia)
GTEX-RVPV-0226-SM-2TF6W	Artery - Tibial
GTEX-RVPV-0226-SM-2XU9L	Artery - Tibial
GTEX-RVPV-0526-SM-47JYL	Esophagus - Mucosa
GTEX-RVPV-0926-SM-47JXU	Muscle - Skeletal
GTEX-RVPV-1226-SM-2TF73	Thyroid
GTEX-RVPV-1226-SM-2XUAG	Thyroid
GTEX-RVPV-1726-SM-2TF5W	Lung
GTEX-RVPV-1726-SM-2XU8R	Lung
GTEX-RVPV-1726-SM-5SI8C	Lung
GTEX-RWS6-0001-SM-3NMAL	Cells - EBV-transformed lymphocytes
GTEX-RWS6-0004-SM-2RXEY	Whole Blood
GTEX-RWS6-0004-SM-2XK2T	Whole Blood
GTEX-RWS6-0004-SM-3USSB	Whole Blood
GTEX-RWS6-0004-SM-5JK3Z	Whole Blood
GTEX-RWS6-0005-SM-2XCAN	Whole Blood
GTEX-RWS6-0005-SM-2XU9T	Whole Blood
GTEX-RWS6-0008-SM-47JYV	Cells - Transformed fibroblasts
GTEX-RWS6-0226-SM-2XCA9	Lung
GTEX-RWS6-0226-SM-2XUAO	Lung
GTEX-RWS6-0326-SM-2XCAP	Heart - Left Ventricle
GTEX-RWS6-0326-SM-2XUAF	Heart - Left Ventricle
GTEX-RWS6-0426-SM-47JXH	Artery - Coronary
GTEX-RWS6-0526-SM-4GIAJ	Artery - Aorta
GTEX-RWS6-0626-SM-2XCAS	Thyroid
GTEX-RWS6-0626-SM-2XUAT	Thyroid
GTEX-RWS6-0726-SM-47JXI	Esophagus - Muscularis
GTEX-RWS6-0826-SM-47JXF	Esophagus - Mucosa
GTEX-RWS6-0926-SM-47JXE	Stomach
GTEX-RWS6-1026-SM-47JXD	Ovary
GTEX-RWS6-1126-SM-47JXC	Pancreas
GTEX-RWS6-1326-SM-47JXB	Uterus
GTEX-RWS6-1726-SM-47JXP	Vagina
GTEX-RWS6-1826-SM-47JXX	Colon - Transverse
GTEX-RWS6-1926-SM-47JXY	Breast - Mammary Tissue
GTEX-RWS6-2026-SM-2XCB5	Skin - Sun Exposed (Lower leg)
GTEX-RWS6-2026-SM-2XU8X	Skin - Sun Exposed (Lower leg)
GTEX-RWS6-2126-SM-2XCAV	Muscle - Skeletal
GTEX-RWS6-2126-SM-2XU95	Muscle - Skeletal
GTEX-RWS6-2326-SM-2XCB4	Artery - Tibial
GTEX-RWS6-2326-SM-2XU8O	Artery - Tibial
GTEX-RWS6-2426-SM-2XCB9	Nerve - Tibial
GTEX-RWS6-2426-SM-2XU8G	Nerve - Tibial
GTEX-RWSA-0003-SM-2VCTT	Whole Blood
GTEX-RWSA-0003-SM-2XK2E	Whole Blood
GTEX-RWSA-0003-SM-4X61Z	Whole Blood
GTEX-RWSA-0003-SM-5JK4L	Whole Blood
GTEX-RWSA-0005-SM-2XCAO	Whole Blood
GTEX-RWSA-0005-SM-2XU8W	Whole Blood
GTEX-RWSA-0008-SM-47JYX	Cells - Transformed fibroblasts
GTEX-RWSA-0126-SM-2XCBB	Skin - Sun Exposed (Lower leg)
GTEX-RWSA-0126-SM-2XU9X	Skin - Sun Exposed (Lower leg)
GTEX-RWSA-0226-SM-2XCBA	Adipose - Subcutaneous
GTEX-RWSA-0526-SM-2XCBC	Artery - Tibial
GTEX-RWSA-0526-SM-2XU8U	Artery - Tibial
GTEX-RWSA-0626-SM-2XCBD	Heart - Left Ventricle
GTEX-RWSA-0626-SM-2XU9U	Heart - Left Ventricle
GTEX-RWSA-0726-SM-2XCBE	Muscle - Skeletal
GTEX-RWSA-0826-SM-2XCBF	Thyroid
GTEX-RWSA-0826-SM-2XUAA	Thyroid
GTEX-RWSA-0926-SM-47JXW	Artery - Aorta
GTEX-RWSA-1126-SM-2XCAZ	Lung
GTEX-RWSA-1126-SM-2XU92	Lung
GTEX-RWSA-1326-SM-47JX9	Esophagus - Muscularis
GTEX-RWSA-1426-SM-47JXA	Liver
GTEX-RWSA-1726-SM-47JX7	Adrenal Gland
GTEX-RWSA-2026-SM-47JX8	Prostate
GTEX-RWSA-2426-SM-47JXR	Testis
GTEX-S32W-0001-SM-2VCTS	Whole Blood
GTEX-S32W-0001-SM-2XK2F	Whole Blood
GTEX-S32W-0001-SM-3USSK	Whole Blood
GTEX-S32W-0001-SM-5JK4N	Whole Blood
GTEX-S32W-0004-SM-2XCE9	Cells - EBV-transformed lymphocytes
GTEX-S32W-0004-SM-2XUAW	Cells - EBV-transformed lymphocytes
GTEX-S32W-0004-SM-5S2SG	Cells - EBV-transformed lymphocytes
GTEX-S32W-0006-SM-2XCAK	Whole Blood
GTEX-S32W-0006-SM-2XU8J	Whole Blood
GTEX-S32W-0006-SM-5S2SW	Whole Blood
GTEX-S32W-0126-SM-4AD61	Adrenal Gland
GTEX-S32W-0326-SM-2XCBI	Lung
GTEX-S32W-0326-SM-2XUAN	Lung
GTEX-S32W-0326-SM-5S2T4	Lung
GTEX-S32W-0426-SM-4AD6H	Artery - Aorta
GTEX-S32W-0626-SM-2XCBG	Heart - Left Ventricle
GTEX-S32W-0626-SM-2XUA5	Heart - Left Ventricle
GTEX-S32W-0626-SM-5S2TC	Heart - Left Ventricle
GTEX-S32W-0726-SM-2XCBL	Thyroid
GTEX-S32W-0726-SM-2XUAY	Thyroid
GTEX-S32W-0726-SM-5S2T3	Thyroid
GTEX-S32W-0826-SM-4AD5Z	Pancreas
GTEX-S32W-0826-SM-5S2SI	Pancreas
GTEX-S32W-0926-SM-4AD5X	Esophagus - Mucosa
GTEX-S32W-1026-SM-4AD5W	Esophagus - Muscularis
GTEX-S32W-1126-SM-4AD5V	Bladder
GTEX-S32W-1226-SM-4AD67	Ovary
GTEX-S32W-1326-SM-4AD5Q	Fallopian Tube
GTEX-S32W-1426-SM-4AD66	Uterus
GTEX-S32W-1526-SM-4AD6Z	Cervix - Ectocervix
GTEX-S32W-1626-SM-4AD6G	Cervix - Endocervix
GTEX-S32W-1926-SM-4AD63	Liver
GTEX-S32W-2026-SM-4AD6E	Breast - Mammary Tissue
GTEX-S32W-2126-SM-2XCB1	Skin - Sun Exposed (Lower leg)
GTEX-S32W-2126-SM-2XU8S	Skin - Sun Exposed (Lower leg)
GTEX-S32W-2226-SM-2XCAY	Adipose - Subcutaneous
GTEX-S32W-2226-SM-5S2S7	Adipose - Subcutaneous
GTEX-S32W-2326-SM-2XCAW	Muscle - Skeletal
GTEX-S32W-2326-SM-2XU9H	Muscle - Skeletal
GTEX-S32W-2326-SM-5S2S6	Muscle - Skeletal
GTEX-S32W-2426-SM-2XCAT	Artery - Tibial
GTEX-S32W-2426-SM-2XU8T	Artery - Tibial
GTEX-S32W-2526-SM-2XCB8	Nerve - Tibial
GTEX-S32W-2526-SM-2XU8Y	Nerve - Tibial
GTEX-S33H-0004-SM-2VCTX	Whole Blood
GTEX-S33H-0004-SM-2XK2J	Whole Blood
GTEX-S33H-0004-SM-4SVPL	Whole Blood
GTEX-S33H-0005-SM-2XCAL	Whole Blood
GTEX-S33H-0005-SM-2XU96	Whole Blood
GTEX-S33H-0008-SM-4AD6C	Cells - Transformed fibroblasts
GTEX-S33H-0126-SM-4AD62	Testis
GTEX-S33H-0326-SM-4AD6N	Breast - Mammary Tissue
GTEX-S33H-0526-SM-2XCBK	Heart - Left Ventricle
GTEX-S33H-0526-SM-2XUAH	Heart - Left Ventricle
GTEX-S33H-0526-SM-5SI83	Heart - Left Ventricle
GTEX-S33H-0626-SM-2XCBJ	Lung
GTEX-S33H-0626-SM-2XUAP	Lung
GTEX-S33H-0726-SM-4AD6M	Artery - Aorta
GTEX-S33H-0826-SM-4AD5Y	Esophagus - Mucosa
GTEX-S33H-1126-SM-2XCB6	Adipose - Subcutaneous
GTEX-S33H-1226-SM-4AD69	Pancreas
GTEX-S33H-1326-SM-4AD6A	Adrenal Gland
GTEX-S33H-1626-SM-4AD68	Liver
GTEX-S33H-1826-SM-4AD65	Prostate
GTEX-S33H-2226-SM-2XCB7	Muscle - Skeletal
GTEX-S33H-2226-SM-2XU99	Muscle - Skeletal
GTEX-S33H-2226-SM-5S2UF	Muscle - Skeletal
GTEX-S33H-2326-SM-2XCB3	Nerve - Tibial
GTEX-S33H-2326-SM-2XU8P	Nerve - Tibial
GTEX-S33H-2426-SM-2XCB2	Artery - Tibial
GTEX-S33H-2426-SM-2XU8L	Artery - Tibial
GTEX-S341-0001-SM-2VCTY	Whole Blood
GTEX-S341-0001-SM-2XK2K	Whole Blood
GTEX-S341-0001-SM-3USS9	Whole Blood
GTEX-S341-0001-SM-5JK33	Whole Blood
GTEX-S341-0006-SM-2XUA1	Whole Blood
GTEX-S341-0006-SM-3NM8D	Whole Blood
GTEX-S341-0008-SM-4AD6D	Cells - Transformed fibroblasts
GTEX-S341-0126-SM-4AD64	Adrenal Gland
GTEX-S341-0226-SM-2XCAX	Thyroid
GTEX-S341-0226-SM-2XU9O	Thyroid
GTEX-S341-0226-SM-5S2VG	Thyroid
GTEX-S341-0326-SM-2XCAU	Lung
GTEX-S341-0326-SM-2XUAR	Lung
GTEX-S341-0426-SM-4AD5L	Esophagus - Muscularis
GTEX-S341-0526-SM-4AD5U	Esophagus - Mucosa
GTEX-S341-0626-SM-4AD5T	Stomach
GTEX-S341-0726-SM-4AD5R	Ovary
GTEX-S341-0826-SM-4AD73	Fallopian Tube
GTEX-S341-1026-SM-4AD71	Uterus
GTEX-S341-1126-SM-4AD6T	Cervix - Ectocervix
GTEX-S341-1226-SM-4AD5S	Vagina
GTEX-S341-1326-SM-4AD72	Cervix - Endocervix
GTEX-S341-1426-SM-4AD6U	Colon - Transverse
GTEX-S341-1526-SM-4AD6K	Breast - Mammary Tissue
GTEX-S341-1626-SM-3K2B8	Adipose - Subcutaneous
GTEX-S341-1726-SM-2XU8C	Skin - Sun Exposed (Lower leg)
GTEX-S341-1726-SM-3K2AK	Skin - Sun Exposed (Lower leg)
GTEX-S341-1826-SM-2XU9V	Muscle - Skeletal
GTEX-S341-1826-SM-3K2AB	Muscle - Skeletal
GTEX-S341-1926-SM-2XU91	Nerve - Tibial
GTEX-S341-1926-SM-3K2BA	Nerve - Tibial
GTEX-S341-2026-SM-2XCAA	Artery - Tibial
GTEX-S341-2026-SM-2XU8A	Artery - Tibial
GTEX-S3XE-0003-SM-2VCTV	Whole Blood
GTEX-S3XE-0003-SM-2XK2I	Whole Blood
GTEX-S3XE-0003-SM-3UZFM	Whole Blood
GTEX-S3XE-0006-SM-2XU9B	Whole Blood
GTEX-S3XE-0006-SM-3K2AA	Whole Blood
GTEX-S3XE-0008-SM-3NM8O	Cells - Transformed fibroblasts
GTEX-S3XE-0126-SM-4AD4R	Adrenal Gland
GTEX-S3XE-0226-SM-4AD6I	Artery - Coronary
GTEX-S3XE-0326-SM-4AD6L	Artery - Aorta
GTEX-S3XE-0426-SM-2XUAK	Heart - Left Ventricle
GTEX-S3XE-0426-SM-3K2AC	Heart - Left Ventricle
GTEX-S3XE-0526-SM-4AD4G	Pancreas
GTEX-S3XE-0626-SM-4AD6B	Spleen
GTEX-S3XE-0826-SM-4AD4U	Esophagus - Muscularis
GTEX-S3XE-0926-SM-4AD4S	Esophagus - Mucosa
GTEX-S3XE-1026-SM-4AD4O	Stomach
GTEX-S3XE-1126-SM-4AD4N	Colon - Transverse
GTEX-S3XE-1226-SM-4AD4L	Bladder
GTEX-S3XE-1326-SM-4AD4H	Prostate
GTEX-S3XE-1526-SM-4AD5A	Testis
GTEX-S3XE-1626-SM-3K2AJ	Adipose - Subcutaneous
GTEX-S3XE-1726-SM-2XU9F	Skin - Sun Exposed (Lower leg)
GTEX-S3XE-1726-SM-3K2AM	Skin - Sun Exposed (Lower leg)
GTEX-S3XE-1826-SM-2XU8Z	Artery - Tibial
GTEX-S3XE-1826-SM-3K2B4	Artery - Tibial
GTEX-S3XE-1926-SM-2XU8H	Nerve - Tibial
GTEX-S3XE-1926-SM-3K2B3	Nerve - Tibial
GTEX-S3XE-2026-SM-2XU9P	Muscle - Skeletal
GTEX-S3XE-2026-SM-3K2B5	Muscle - Skeletal
GTEX-S4P3-0004-SM-2VCTW	Whole Blood
GTEX-S4P3-0004-SM-2XK2G	Whole Blood
GTEX-S4P3-0004-SM-4X5ZQ	Whole Blood
GTEX-S4P3-0004-SM-5JK4R	Whole Blood
GTEX-S4P3-0006-SM-2XU8F	Whole Blood
GTEX-S4P3-0006-SM-3K2AW	Whole Blood
GTEX-S4P3-0008-SM-3NM8R	Cells - Transformed fibroblasts
GTEX-S4P3-0226-SM-2XUAX	Thyroid
GTEX-S4P3-0226-SM-3K2BD	Thyroid
GTEX-S4P3-0326-SM-4AD6P	Artery - Aorta
GTEX-S4P3-0426-SM-4AD56	Esophagus - Mucosa
GTEX-S4P3-0526-SM-4AD58	Esophagus - Muscularis
GTEX-S4P3-0626-SM-4AD59	Pancreas
GTEX-S4P3-0726-SM-4AD57	Stomach
GTEX-S4P3-0926-SM-4AD54	Ovary
GTEX-S4P3-1126-SM-4AD52	Vagina
GTEX-S4P3-1226-SM-4AD4Y	Colon - Transverse
GTEX-S4P3-1326-SM-4AD6V	Breast - Mammary Tissue
GTEX-S4P3-1526-SM-3K2AV	Adipose - Subcutaneous
GTEX-S4P3-1626-SM-2XUAB	Muscle - Skeletal
GTEX-S4P3-1626-SM-3K2AZ	Muscle - Skeletal
GTEX-S4P3-1826-SM-2XU8N	Artery - Tibial
GTEX-S4P3-1826-SM-3K2AL	Artery - Tibial
GTEX-S4Q7-0001-SM-2VCU1	Whole Blood
GTEX-S4Q7-0001-SM-2XK2L	Whole Blood
GTEX-S4Q7-0001-SM-3UZFN	Whole Blood
GTEX-S4Q7-0001-SM-5JK3A	Whole Blood
GTEX-S4Q7-0003-SM-3NM8M	Cells - EBV-transformed lymphocytes
GTEX-S4Q7-0006-SM-2XUA8	Whole Blood
GTEX-S4Q7-0006-SM-3K2AT	Whole Blood
GTEX-S4Q7-0008-SM-3NM8A	Cells - Transformed fibroblasts
GTEX-S4Q7-0126-SM-4AD5P	Spleen
GTEX-S4Q7-0226-SM-4AD5O	Adrenal Gland
GTEX-S4Q7-0326-SM-2XUAU	Thyroid
GTEX-S4Q7-0326-SM-3K2B1	Thyroid
GTEX-S4Q7-0426-SM-2XUAZ	Lung
GTEX-S4Q7-0426-SM-3K2BJ	Lung
GTEX-S4Q7-0526-SM-4AD5N	Esophagus - Muscularis
GTEX-S4Q7-0626-SM-4AD5M	Esophagus - Mucosa
GTEX-S4Q7-0726-SM-4AD5F	Stomach
GTEX-S4Q7-0826-SM-4AD5E	Colon - Transverse
GTEX-S4Q7-0926-SM-4AD5D	Bladder
GTEX-S4Q7-1026-SM-4AD75	Prostate
GTEX-S4Q7-1126-SM-4AD6R	Breast - Mammary Tissue
GTEX-S4Q7-1226-SM-4AD5I	Testis
GTEX-S4Q7-1326-SM-4AD74	Artery - Tibial
GTEX-S4Q7-1426-SM-2XU8I	Nerve - Tibial
GTEX-S4Q7-1426-SM-3K2B9	Nerve - Tibial
GTEX-S4Q7-1526-SM-2XU9C	Muscle - Skeletal
GTEX-S4Q7-1526-SM-3K2AG	Muscle - Skeletal
GTEX-S4Q7-1626-SM-2XU8B	Adipose - Subcutaneous
GTEX-S4Q7-1626-SM-3K2AE	Adipose - Subcutaneous
GTEX-S4UY-0003-SM-2VCTU	Whole Blood
GTEX-S4UY-0003-SM-2XK2Q	Whole Blood
GTEX-S4UY-0003-SM-4X61Q	Whole Blood
GTEX-S4UY-0003-SM-5JK3Y	Whole Blood
GTEX-S4UY-0006-SM-3K2A7	Whole Blood
GTEX-S4UY-0008-SM-3NM8H	Cells - Transformed fibroblasts
GTEX-S4UY-0126-SM-2XU9R	Skin - Sun Exposed (Lower leg)
GTEX-S4UY-0126-SM-3K2BB	Skin - Sun Exposed (Lower leg)
GTEX-S4UY-0226-SM-3K2AP	Adipose - Subcutaneous
GTEX-S4UY-0426-SM-2XU8M	Artery - Tibial
GTEX-S4UY-0426-SM-3K2AF	Artery - Tibial
GTEX-S4UY-0526-SM-2XUA3	Muscle - Skeletal
GTEX-S4UY-0526-SM-3K2AN	Muscle - Skeletal
GTEX-S4UY-0626-SM-2XUAQ	Thyroid
GTEX-S4UY-0626-SM-3K2AO	Thyroid
GTEX-S4UY-0726-SM-4AD6X	Breast - Mammary Tissue
GTEX-S4UY-0826-SM-4AD4Z	Colon - Transverse
GTEX-S4UY-0926-SM-4AD6O	Bladder
GTEX-S4UY-1026-SM-4AD53	Ovary
GTEX-S4UY-1226-SM-4AD51	Uterus
GTEX-S4UY-1326-SM-4AD4X	Vagina
GTEX-S4UY-1426-SM-4AD6Y	Cervix - Ectocervix
